   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         5       452       1       105         "sonnette9"     475   "S_tarson_L"       205       1       134;
       2         0    "Bdog"         2       993       0       102               "nul"      54   "S_tarson_R"       202       1        95;
       3         1    "Rdog"        34       216       0       134               "nul"     690   "S_tarson_R"       234       1       122;
       4         0    "Bdog"         2       525       0       102               "nul"     450   "S_tarson_R"       202       1       189;
       5         1    "Ldog"        17       571       0       117               "nul"     464   "S_tarson_L"       217       1       113;
       6         1    "Ldog"        17       715       0       117               "nul"     254   "S_tarson_L"       217       1       158;
       7         1    "Rdog"        34       551       0       134               "nul"     458   "S_tarson_R"       234       1        83;
       8         0    "Bdog"         9       816       2       109       "telephone16"      77   "S_tarson_L"       209       1       181;
       9         0    "Bdog"         2       764       0       102               "nul"     212   "S_tarson_R"       202       1        92;
      10         0    "Bdog"         6       372       1       106           "reveil3"     543   "S_tarson_R"       206       1        27;
      11         1    "Ldog"        17       546       0       117               "nul"     438   "S_tarson_L"       217       1         7;
      12         0    "Bdog"         2       919       0       102               "nul"     100   "S_tarson_R"       202       1       191;
      13         0    "Bdog"         1       732       0       101               "nul"     268   "S_tarson_L"       201       1       152;
      14         1    "Ldog"        25       826       2       125        "telephone2"     123   "S_tarson_L"       225       1        77;
      15         1    "Ldog"        17       796       0       117               "nul"     192   "S_tarson_L"       217       1        94;
      16         0    "Bdog"         9       879       2       109          "reveil11"      58   "S_tarson_L"       209       1       179;
      17         0    "Bdog"         2       816       0       102               "nul"     130   "S_tarson_R"       202       1         2;
      18         0    "Bdog"         1       783       0       101               "nul"     262   "S_tarson_L"       201       1       156;
      19         0    "Bdog"        10       893       2       110              "DING"      87   "S_tarson_R"       210       1        32;
      20         0    "Bdog"         2       765       0       102               "nul"     258   "S_tarson_R"       202       1        73;
      21         1    "Rdog"        34       910       0       134               "nul"      99   "S_tarson_R"       234       1         9;
      22         0    "Bdog"         5       206       1       105       "telephone19"     669   "S_tarson_L"       205       1        60;
      23         0    "Bdog"        10       613       2       110           "reveil6"     272   "S_tarson_R"       210       1       194;
      24         1    "Ldog"        21       439       1       121       "telephone18"     518   "S_tarson_L"       221       1        26;
      25         0    "Bdog"         2       474       0       102               "nul"     440   "S_tarson_R"       202       1       167;
      26         0    "Bdog"         1       798       0       101               "nul"     212   "S_tarson_L"       201       1        95;
      27         0    "Bdog"         1       395       0       101               "nul"     530   "S_tarson_L"       201       1       198;
      28         1    "Ldog"        17       679       0       117               "nul"     193   "S_tarson_L"       217       1       153;
      29         1    "Rdog"        34       823       0       134               "nul"     199   "S_tarson_R"       234       1        24;
      30         1    "Ldog"        25       651       2       125            "ring10"     199   "S_tarson_L"       225       1        90;
      31         1    "Rdog"        34       707       0       134               "nul"     198   "S_tarson_R"       234       1        96;
      32         0    "Bdog"         1       467       0       101               "nul"     504   "S_tarson_L"       201       1        89;
};
